,content
216,"{'companyId': 62, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'overSevenDays', 'lastLogin': 1543919998000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': '数据分析', 'skillLables': [], 'positionName': '数据分析师', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image2/M01/79/0A/CgoB5ltr2A-AM5SFAADbT9jQCn841.jpeg', 'salary': '15k-30k', 'city': '深圳', 'financeStage': 'C轮', 'industryField': '移动互联网,数据服务', 'approve': 1, 'positionId': 5120858, 'createTime': '2018-12-25 22:54:16', 'positionAdvantage': '六险一金，弹性工作，免费三餐，餐补', 'companyShortName': '字节跳动', 'companySize': '2000人以上', 'companyLabelList': ['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴'], 'publisherId': 5029153, 'score': 0, 'district': '宝安区', 'positionLables': ['数据分析'], 'industryLables': ['数据分析'], 'businessZones': None, 'longitude': '22.548721', 'latitude': '22.548721', 'formatCreateTime': '1天前发布', 'companyFullName': '北京字节跳动科技有限公司', 'adWord': 0}"
217,"{'companyId': 123777, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545795297000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '深大', 'linestaion': '1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': [], 'positionName': '数据分析师', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image/M00/2E/03/CgqKkVc9jmCAI8DpAAD09YLPnBk157.png', 'salary': '10k-15k', 'city': '深圳', 'financeStage': '不需要融资', 'industryField': '电子商务,企业服务', 'approve': 1, 'positionId': 4595405, 'createTime': '2018-12-24 15:22:54', 'positionAdvantage': '五险一金,带薪年假,年终奖,年底双薪', 'companyShortName': '通力互联', 'companySize': '2000人以上', 'companyLabelList': ['绩效奖金', '交通补助', '定期体检', '通讯津贴'], 'publisherId': 9328764, 'score': 0, 'district': '南山区', 'positionLables': ['大数据'], 'industryLables': ['大数据'], 'businessZones': ['科技园', '大冲'], 'longitude': '113.947593', 'latitude': '22.546344', 'formatCreateTime': '2天前发布', 'companyFullName': '北京通力互联技术服务有限公司', 'adWord': 0}"
218,"{'companyId': 102685, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545792453000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '深大', 'linestaion': '2号线/蛇口线_后海;2号线/蛇口线_科苑;1号线/罗宝线_深大;11号线/机场线_后海', 'thirdType': '数据分析', 'skillLables': ['商业', 'BI', '可视化'], 'positionName': '数据分析师-深圳', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image/M00/8F/BF/CgpEMlrxAzKAFeRKAAAhk0Nn8UY119.png', 'salary': '15k-25k', 'city': '深圳', 'financeStage': 'C轮', 'industryField': '数据服务', 'approve': 1, 'positionId': 4757404, 'createTime': '2018-12-23 14:29:03', 'positionAdvantage': '五险一金,午餐补助,补充医疗,14薪', 'companyShortName': '神策数据', 'companySize': '150-500人', 'companyLabelList': ['节日礼物', '年底双薪', '股票期权', '带薪年假'], 'publisherId': 2877158, 'score': 0, 'district': '南山区', 'positionLables': ['大数据', '商业', 'BI', '可视化'], 'industryLables': ['大数据', '商业', 'BI', '可视化'], 'businessZones': ['深圳湾', '科技园'], 'longitude': '113.945036', 'latitude': '22.528953', 'formatCreateTime': '3天前发布', 'companyFullName': '神策网络科技（北京）有限公司', 'adWord': 0}"
219,"{'companyId': 346280, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545809328000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '7号线', 'stationname': '洪湖', 'linestaion': '3号线/龙岗线_田贝;3号线/龙岗线_水贝;5号线/环中线_布心;5号线/环中线_太安;7号线_洪湖;7号线_田贝;7号线_太安', 'thirdType': '数据分析', 'skillLables': ['数据库'], 'positionName': '数据分析师', 'workYear': '5-10年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image2/M01/AD/FC/CgoB5lv0_6SAeaesAAAN1a8axYA382.jpg', 'salary': '10k-20k', 'city': '深圳', 'financeStage': '不需要融资', 'industryField': '数据服务、移动互联网', 'approve': 1, 'positionId': 5389184, 'createTime': '2018-12-26 10:02:21', 'positionAdvantage': '行业背景好，绩效年终奖，包工作餐', 'companyShortName': '朗辰科技', 'companySize': '15-50人', 'companyLabelList': ['绩效奖金', '包午餐晚餐', '定期体检', '扁平管理'], 'publisherId': 144321, 'score': 0, 'district': '罗湖区', 'positionLables': ['云计算', '大数据', '数据库'], 'industryLables': ['云计算', '大数据', '数据库'], 'businessZones': ['水贝', '田贝', '翠竹'], 'longitude': '114.128931', 'latitude': '22.570901', 'formatCreateTime': '10:02发布', 'companyFullName': '深圳市朗辰信息科技有限公司', 'adWord': 0}"
220,"{'companyId': 384731, 'hitags': None, 'resumeProcessRate': 2, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545805969000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '大新', 'linestaion': '1号线/罗宝线_桃园;1号线/罗宝线_大新;11号线/机场线_南山', 'thirdType': '数据分析', 'skillLables': [], 'positionName': '数据分析', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image2/M00/4C/F8/CgotOVr7AJ-AF1pCAAASlFls4_s746.jpg', 'salary': '10k-20k', 'city': '深圳', 'financeStage': '天使轮', 'industryField': '移动互联网,金融', 'approve': 1, 'positionId': 5418640, 'createTime': '2018-12-12 17:04:00', 'positionAdvantage': '领导好,水果酸奶,近地铁', 'companyShortName': '借帮帮', 'companySize': '50-150人', 'companyLabelList': ['股票期权', '专项奖金', '餐补', '年终分红'], 'publisherId': 11529409, 'score': 0, 'district': '南山区', 'positionLables': [], 'industryLables': [], 'businessZones': ['前海', '南头', '科技园'], 'longitude': '113.926482', 'latitude': '22.532937', 'formatCreateTime': '2018-12-12', 'companyFullName': '深圳金风信用科技有限公司', 'adWord': 0}"
221,"{'companyId': 19875, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 2, 'imState': 'threeDays', 'lastLogin': 1545623026000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '5号线/环中线', 'stationname': '宝安中心', 'linestaion': '1号线/罗宝线_新安;1号线/罗宝线_宝安中心;1号线/罗宝线_宝体;5号线/环中线_临海;5号线/环中线_宝华;5号线/环中线_宝安中心;5号线/环中线_翻身;11号线/机场线_宝安', 'thirdType': '数据分析', 'skillLables': ['数据挖掘'], 'positionName': '大数据分析师', 'workYear': '5-10年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'image1/M00/00/25/Cgo8PFTUWH-Ab57wAABKOdLbNuw116.png', 'salary': '25k-50k', 'city': '深圳', 'financeStage': '未融资', 'industryField': '移动互联网', 'approve': 1, 'positionId': 3740254, 'createTime': '2018-12-24 16:01:55', 'positionAdvantage': '交通便利,福利好,氛围好', 'companyShortName': 'vivo', 'companySize': '2000人以上', 'companyLabelList': ['年终分红', '带薪年假', '年度旅游', '岗位晋升'], 'publisherId': 302876, 'score': 0, 'district': '宝安区', 'positionLables': ['大数据', '数据挖掘'], 'industryLables': ['大数据', '数据挖掘'], 'businessZones': ['新安', '翻身路'], 'longitude': '113.88742', 'latitude': '22.551716', 'formatCreateTime': '2天前发布', 'companyFullName': '维沃移动通信有限公司', 'adWord': 0}"
222,"{'companyId': 478181, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545763221000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '金融类', 'secondType': '互联网金融', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': '分析师', 'skillLables': ['策略设计'], 'positionName': '数据分析师', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'images/logo_default.png', 'salary': '20k-21k', 'city': '深圳', 'financeStage': '天使轮', 'industryField': '金融', 'approve': 0, 'positionId': 5431942, 'createTime': '2018-12-18 02:44:16', 'positionAdvantage': '工作时间相对自由', 'companyShortName': '银泰', 'companySize': '15-50人', 'companyLabelList': ['""""'], 'publisherId': 12057677, 'score': 0, 'district': '宝安区', 'positionLables': ['证券/期货', '策略设计'], 'industryLables': ['证券/期货', '策略设计'], 'businessZones': ['松岗'], 'longitude': '113.854126', 'latitude': '22.762941', 'formatCreateTime': '2018-12-18', 'companyFullName': '深圳市银泰亨信息技术有限公司', 'adWord': 0}"
223,"{'companyId': 35112, 'hitags': ['免费休闲游', '免费体检', '地铁周边', '6险1金', '前景无限好'], 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545807706000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '深大', 'linestaion': '1号线/罗宝线_白石洲;1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': [], 'positionName': '互联网金融数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'image1/M00/00/53/Cgo8PFTUXRaAJMASAAA4tgqd6o4861.png', 'salary': '12k-18k', 'city': '深圳', 'financeStage': '不需要融资', 'industryField': '金融', 'approve': 1, 'positionId': 4338286, 'createTime': '2018-12-25 14:39:33', 'positionAdvantage': '年终奖,六险一金,平台大,五天7小时', 'companyShortName': '中腾信', 'companySize': '2000人以上', 'companyLabelList': ['节日礼物', '年底多薪', '绩效奖金', '岗位晋升'], 'publisherId': 9183834, 'score': 0, 'district': '南山区', 'positionLables': ['金融'], 'industryLables': ['金融'], 'businessZones': ['白石洲', '大冲', '科技园'], 'longitude': '113.953243', 'latitude': '22.540772', 'formatCreateTime': '1天前发布', 'companyFullName': '中腾信金融信息服务（上海）有限公司', 'adWord': 0}"
224,"{'companyId': 95529, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'threeDays', 'lastLogin': 1545615546000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '华强北', 'linestaion': '2号线/蛇口线_华强北;2号线/蛇口线_燕南;2号线/蛇口线_大剧院;1号线/罗宝线_大剧院;1号线/罗宝线_科学馆;1号线/罗宝线_华强路;3号线/龙岗线_华新;3号线/龙岗线_通新岭;3号线/龙岗线_红岭;7号线_华强南;7号线_华强北;7号线_华新;9号线_红岭;9号线_红岭南', 'thirdType': '数据分析', 'skillLables': ['数据挖掘'], 'positionName': '数据分析工程师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image/M00/45/77/CgqKkVeIdGiANSx7AAAVacVYVAo280.JPG', 'salary': '15k-30k', 'city': '深圳', 'financeStage': 'A轮', 'industryField': '移动互联网', 'approve': 1, 'positionId': 4375423, 'createTime': '2018-12-14 10:46:35', 'positionAdvantage': '核心技术部,核心团队,发展平台好,公司福利好', 'companyShortName': '云天励飞', 'companySize': '500-2000人', 'companyLabelList': ['节日礼物', '带薪年假', '年度旅游', '开放务实'], 'publisherId': 8320674, 'score': 0, 'district': '福田区', 'positionLables': ['云计算', '大数据', '数据挖掘'], 'industryLables': ['云计算', '大数据', '数据挖掘'], 'businessZones': ['上步', '中信广场', '振华路'], 'longitude': '114.096167', 'latitude': '22.542356', 'formatCreateTime': '2018-12-14', 'companyFullName': '深圳云天励飞技术有限公司', 'adWord': 0}"
225,"{'companyId': 61474, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545803262000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '贸易|批发|零售|租赁业', 'secondType': '贸易', 'isSchoolJob': 0, 'subwayline': '11号线/机场线', 'stationname': '南山', 'linestaion': '11号线/机场线_南山', 'thirdType': '贸易|外贸专员|助理', 'skillLables': [], 'positionName': '数据分析师', 'workYear': '不限', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image2/M00/03/02/CgoB5lnBz_eAXI9JAAAcmVMB_5A953.jpg', 'salary': '5k-9k', 'city': '深圳', 'financeStage': '上市公司', 'industryField': '电子商务', 'approve': 1, 'positionId': 5232921, 'createTime': '2018-12-26 11:06:46', 'positionAdvantage': 'excel', 'companyShortName': '深圳市环球易购', 'companySize': '500-2000人', 'companyLabelList': ['年底双薪', '节日礼物', '技能培训', '年度旅游'], 'publisherId': 11856231, 'score': 0, 'district': '南山区', 'positionLables': ['电商'], 'industryLables': ['电商'], 'businessZones': ['蛇口', '南油', '海王大厦'], 'longitude': '113.922988', 'latitude': '22.515272', 'formatCreateTime': '11:06发布', 'companyFullName': '深圳市环球易购', 'adWord': 0}"
226,"{'companyId': 431443, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'overSevenDays', 'lastLogin': 1545180018000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '桃源村', 'linestaion': '2号线/蛇口线_侨城北;7号线_桃源村;7号线_深云', 'thirdType': '数据分析', 'skillLables': ['MySQL'], 'positionName': '数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image2/M01/77/C3/CgoB5ltpTZmAX3LuAAAHbN0XFII004.png', 'salary': '10k-16k', 'city': '深圳', 'financeStage': '天使轮', 'industryField': '人工智能', 'approve': 1, 'positionId': 5057865, 'createTime': '2018-12-17 08:40:46', 'positionAdvantage': '发展空间大,加薪空间大,能力说话', 'companyShortName': 'BDS大数易', 'companySize': '少于15人', 'companyLabelList': ['年底双薪', '股票期权', '绩效奖金', '专项奖金'], 'publisherId': 11431596, 'score': 0, 'district': '南山区', 'positionLables': ['大数据', 'MySQL'], 'industryLables': ['大数据', 'MySQL'], 'businessZones': ['华侨城'], 'longitude': '113.981429', 'latitude': '22.550908', 'formatCreateTime': '2018-12-17', 'companyFullName': '深圳大数易智慧科技有限公司', 'adWord': 0}"
227,"{'companyShortName': '蓝色光标SNK', 'createTime': '2018-12-24 16:46:16', 'companyId': 56521, 'jobNature': '全职', 'companySize': '150-500人', 'approve': 1, 'companyLabelList': ['节日礼物', '岗位晋升', '领导好', '美女多'], 'publisherId': 7874903, 'district': '南山区', 'financeStage': '不需要融资', 'industryField': '移动互联网,游戏', 'workYear': '1-3年', 'education': '本科', 'city': '深圳', 'positionName': '数据分析师/高级数据分析师', 'companyLogo': 'i/image/M00/2E/5C/Cgp3O1c-0TOACNhHAAAQbvzoocM511.png', 'positionId': 3307004, 'positionAdvantage': '平台好', 'salary': '6k-8k', 'score': 0, 'positionLables': ['广告营销', '媒体', '市场'], 'industryLables': ['广告营销', '媒体', '市场'], 'businessZones': ['科技园', '南山医院', '大冲'], 'longitude': '113.9446', 'latitude': '22.548341', 'formatCreateTime': '2天前发布', 'adWord': 0, 'companyFullName': '北京思恩客科技有限公司', 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'disabled', 'lastLogin': 1545722733000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '市场|商务类', 'secondType': '市场|营销', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '深大', 'linestaion': '1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '市场营销', 'skillLables': ['市场']}"
228,"{'companyShortName': '立业贷', 'createTime': '2018-12-26 08:28:02', 'companyId': 67920, 'jobNature': '全职', 'companySize': '50-150人', 'approve': 1, 'companyLabelList': ['节日礼物', '技能培训', '绩效奖金', '年度旅游'], 'publisherId': 1659931, 'district': '南山区', 'financeStage': '不需要融资', 'industryField': '金融', 'workYear': '1-3年', 'education': '硕士', 'city': '深圳', 'positionName': '风控建模/数据分析', 'companyLogo': 'i/image/M00/23/D8/Cgp3O1cYh8KALvPUAAASxn_N6Io707.jpg', 'positionId': 5429570, 'positionAdvantage': '五险一金', 'salary': '15k-30k', 'score': 0, 'positionLables': ['p2p产品'], 'industryLables': [], 'businessZones': ['白石洲', '大冲', '科技园'], 'longitude': '113.953376', 'latitude': '22.542201', 'formatCreateTime': '08:28发布', 'adWord': 0, 'companyFullName': '深圳市立业贷互联网金融服务有限公司', 'hitags': None, 'resumeProcessRate': 8, 'resumeProcessDay': 4, 'imState': 'today', 'lastLogin': 1545807937000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '金融类', 'secondType': '互联网金融', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '深大', 'linestaion': '1号线/罗宝线_白石洲;1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '分析师', 'skillLables': ['p2p产品']}"
229,"{'companyShortName': '通力互联', 'createTime': '2018-12-24 15:23:01', 'companyId': 123777, 'jobNature': '全职', 'companySize': '2000人以上', 'approve': 1, 'companyLabelList': ['绩效奖金', '交通补助', '定期体检', '通讯津贴'], 'publisherId': 9328764, 'district': '南山区', 'financeStage': '不需要融资', 'industryField': '电子商务,企业服务', 'workYear': '1-3年', 'education': '大专', 'city': '深圳', 'positionName': '数据分析', 'companyLogo': 'i/image/M00/2E/03/CgqKkVc9jmCAI8DpAAD09YLPnBk157.png', 'positionId': 4465656, 'positionAdvantage': '五险一金,上下班车,早晚餐,培训机制', 'salary': '6k-9k', 'score': 0, 'positionLables': ['大数据', '商业'], 'industryLables': ['大数据', '商业'], 'businessZones': ['科技园', '大冲'], 'longitude': '113.948041', 'latitude': '22.53842', 'formatCreateTime': '2天前发布', 'adWord': 0, 'companyFullName': '北京通力互联技术服务有限公司', 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545795297000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '深大', 'linestaion': '2号线/蛇口线_科苑;1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': ['商业']}"
230,"{'companyShortName': '嘉悦国际', 'createTime': '2018-12-24 16:00:46', 'companyId': 425530, 'jobNature': '全职', 'companySize': '150-500人', 'approve': 1, 'companyLabelList': ['""""'], 'publisherId': 11395266, 'district': '龙华新区', 'financeStage': '未融资', 'industryField': 'O2O 移动互联网', 'workYear': '3-5年', 'education': '本科', 'city': '深圳', 'positionName': '数据分析师', 'companyLogo': 'i/image2/M01/77/08/CgotOVtn_0aACZ29AABQBoCEHBk956.png', 'positionId': 5283300, 'positionAdvantage': '团队好', 'salary': '10k-15k', 'score': 0, 'positionLables': [], 'industryLables': [], 'businessZones': None, 'longitude': '114.057696', 'latitude': '22.604715', 'formatCreateTime': '2天前发布', 'adWord': 0, 'companyFullName': '深圳嘉悦美业有限公司', 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'threeDays', 'lastLogin': 1545638329000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '4号线/龙华线', 'stationname': '民乐', 'linestaion': '4号线/龙华线_民乐', 'thirdType': '数据分析', 'skillLables': []}"
231,"{'companyShortName': '平安科技', 'createTime': '2018-12-26 00:00:15', 'companyId': 24748, 'jobNature': '全职', 'companySize': '2000人以上', 'approve': 1, 'companyLabelList': ['节日礼物', '年度旅游', '岗位晋升', '技能培训'], 'publisherId': 811225, 'district': '南山区', 'financeStage': '不需要融资', 'industryField': '金融', 'workYear': '3-5年', 'education': '本科', 'city': '深圳', 'positionName': '11124Z-数据分析工程师-云技术服务', 'companyLogo': 'i/image/M00/7D/7C/Cgp3O1hHwlSAXh_pAACcLWenfL8606.jpg', 'positionId': 5409676, 'positionAdvantage': '五险一金,带薪年假,节日福利,绩效奖金', 'salary': '20k-40k', 'score': 0, 'positionLables': ['大数据', '云计算', 'Hadoop', 'Spark', '数据挖掘'], 'industryLables': ['大数据', '云计算', 'Hadoop', 'Spark', '数据挖掘'], 'businessZones': ['科技园', '白石洲', '大冲'], 'longitude': '113.957451', 'latitude': '22.538492', 'formatCreateTime': '00:00发布', 'adWord': 0, 'companyFullName': '平安科技（深圳）有限公司', 'hitags': None, 'resumeProcessRate': 35, 'resumeProcessDay': 4, 'imState': 'today', 'lastLogin': 1545804943000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '深大', 'linestaion': '1号线/罗宝线_白石洲;1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': ['Hadoop', 'Spark', '数据挖掘']}"
232,"{'companyShortName': '中信银行信用卡中心', 'createTime': '2018-11-30 17:29:00', 'companyId': 26536, 'jobNature': '全职', 'companySize': '2000人以上', 'approve': 1, 'companyLabelList': ['互联网金融', '节日礼物', '绩效奖金', '年度旅游'], 'publisherId': 2659590, 'district': None, 'financeStage': '上市公司', 'industryField': '移动互联网,金融', 'workYear': '3-5年', 'education': '本科', 'city': '深圳', 'positionName': '数据分析', 'companyLogo': 'image1/M00/3D/11/CgYXBlW3O4eAIyyZAAA9el86yAw282.png', 'positionId': 4860791, 'positionAdvantage': '金融行业 大数据分析 数据挖掘', 'salary': '25k-50k', 'score': 0, 'positionLables': [], 'industryLables': [], 'businessZones': None, 'longitude': '114.050484', 'latitude': '22.535463', 'formatCreateTime': '2018-11-30', 'adWord': 0, 'companyFullName': '中信银行股份有限公司信用卡中心', 'hitags': ['试用期上社保', '试用期上公积金', '话费补助', '免费体检', '地铁周边', '每月餐补', '5险1金', '晋升机制', '开工利是红包'], 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'sevenDays', 'lastLogin': 1545546755000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '石厦', 'linestaion': '2号线/蛇口线_莲花西;2号线/蛇口线_福田;2号线/蛇口线_市民中心;4号线/龙华线_会展中心;4号线/龙华线_市民中心;1号线/罗宝线_会展中心;1号线/罗宝线_购物公园;1号线/罗宝线_香蜜湖;3号线/龙岗线_石厦;3号线/龙岗线_购物公园;3号线/龙岗线_福田;11号线/机场线_福田;7号线_石厦', 'thirdType': '数据分析', 'skillLables': []}"
233,"{'companyShortName': '货拉拉', 'createTime': '2018-12-19 10:32:24', 'companyId': 41178, 'jobNature': '全职', 'companySize': '2000人以上', 'approve': 1, 'companyLabelList': ['技能培训', '专项奖金', '绩效奖金', '扁平管理'], 'publisherId': 765920, 'district': '福田区', 'financeStage': 'C轮', 'industryField': '移动互联网,O2O', 'workYear': '1-3年', 'education': '本科', 'city': '深圳', 'positionName': '数据分析(J11352)', 'companyLogo': 'image1/M00/00/66/Cgo8PFTUXWSACW7OAACKSYYZpsc111.png', 'positionId': 4908000, 'positionAdvantage': '互联网,独角兽,氛围好', 'salary': '15k-30k', 'score': 0, 'positionLables': ['MySQL'], 'industryLables': [], 'businessZones': ['上梅林', '下梅林'], 'longitude': '22.569103', 'latitude': '114.059297', 'formatCreateTime': '2018-12-19', 'adWord': 0, 'companyFullName': '深圳依时货拉拉科技有限公司', 'hitags': None, 'resumeProcessRate': 13, 'resumeProcessDay': 4, 'imState': 'today', 'lastLogin': 1545804866000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': '数据分析', 'skillLables': ['MySQL']}"
234,"{'companyShortName': '全民通控股', 'createTime': '2018-12-24 15:32:49', 'companyId': 187317, 'jobNature': '全职', 'companySize': '500-2000人', 'approve': 1, 'companyLabelList': [], 'publisherId': 7480759, 'district': '南山区', 'financeStage': '不需要融资', 'industryField': '移动互联网', 'workYear': '应届毕业生', 'education': '本科', 'city': '深圳', 'positionName': '数据分析师', 'companyLogo': 'i/image/M00/08/59/CgpEMljaAFGAIuUQAAALknL3rU0048.png', 'positionId': 4595381, 'positionAdvantage': '五险一金,带薪年假,年终奖,年底双薪', 'salary': '10k-15k', 'score': 0, 'positionLables': ['大数据', 'SPSS'], 'industryLables': ['大数据', 'SPSS'], 'businessZones': None, 'longitude': '113.946903', 'latitude': '22.54554', 'formatCreateTime': '2天前发布', 'adWord': 0, 'companyFullName': '深圳前海全民通金融资本控股集团有限公司', 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'disabled', 'lastLogin': 1545788232000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 1, 'subwayline': '1号线/罗宝线', 'stationname': '深大', 'linestaion': '1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': ['SPSS']}"
